forecast_id,product_id,forecast_date,predicted_demand,model_used
1,B07JW9H4J1,2023-01-01,58,Placeholder
2,B07JW9H4J1,2023-01-08,99,Placeholder
3,B07JW9H4J1,2023-01-15,59,Placeholder
4,B07JW9H4J1,2023-01-22,134,Placeholder
5,B07JW9H4J1,2023-01-29,107,Placeholder
6,B07JW9H4J1,2023-02-05,119,Placeholder
7,B07JW9H4J1,2023-02-12,188,Placeholder
8,B07JW9H4J1,2023-02-19,113,Placeholder
9,B07JW9H4J1,2023-02-26,63,Placeholder
10,B07JW9H4J1,2023-03-05,185,Placeholder
11,B07JW9H4J1,2023-03-12,53,Placeholder
12,B07JW9H4J1,2023-03-19,189,Placeholder
13,B07JW9H4J1,2023-03-26,105,Placeholder
14,B07JW9H4J1,2023-04-02,76,Placeholder
15,B07JW9H4J1,2023-04-09,128,Placeholder
16,B07JW9H4J1,2023-04-16,164,Placeholder
17,B07JW9H4J1,2023-04-23,66,Placeholder
18,B07JW9H4J1,2023-04-30,132,Placeholder
19,B07JW9H4J1,2023-05-07,141,Placeholder
20,B07JW9H4J1,2023-05-14,160,Placeholder
21,B07JW9H4J1,2023-05-21,104,Placeholder
22,B07JW9H4J1,2023-05-28,56,Placeholder
23,B07JW9H4J1,2023-06-04,157,Placeholder
24,B07JW9H4J1,2023-06-11,181,Placeholder
25,B07JW9H4J1,2023-06-18,175,Placeholder
26,B07JW9H4J1,2023-06-25,149,Placeholder
27,B07JW9H4J1,2023-07-02,70,Placeholder
28,B07JW9H4J1,2023-07-09,142,Placeholder
29,B07JW9H4J1,2023-07-16,111,Placeholder
30,B07JW9H4J1,2023-07-23,67,Placeholder
31,B07JW9H4J1,2023-07-30,187,Placeholder
32,B07JW9H4J1,2023-08-06,67,Placeholder
33,B07JW9H4J1,2023-08-13,96,Placeholder
34,B07JW9H4J1,2023-08-20,124,Placeholder
35,B07JW9H4J1,2023-08-27,94,Placeholder
36,B07JW9H4J1,2023-09-03,77,Placeholder
37,B07JW9H4J1,2023-09-10,81,Placeholder
38,B07JW9H4J1,2023-09-17,88,Placeholder
39,B07JW9H4J1,2023-09-24,83,Placeholder
40,B07JW9H4J1,2023-10-01,77,Placeholder
41,B07JW9H4J1,2023-10-08,70,Placeholder
42,B07JW9H4J1,2023-10-15,56,Placeholder
43,B07JW9H4J1,2023-10-22,187,Placeholder
44,B07JW9H4J1,2023-10-29,194,Placeholder
45,B07JW9H4J1,2023-11-05,174,Placeholder
46,B07JW9H4J1,2023-11-12,194,Placeholder
47,B07JW9H4J1,2023-11-19,137,Placeholder
48,B07JW9H4J1,2023-11-26,79,Placeholder
49,B07JW9H4J1,2023-12-03,135,Placeholder
50,B07JW9H4J1,2023-12-10,58,Placeholder
51,B07JW9H4J1,2023-12-17,193,Placeholder
52,B07JW9H4J1,2023-12-24,145,Placeholder
53,B098NS6PVG,2023-01-01,126,Placeholder
54,B098NS6PVG,2023-01-08,197,Placeholder
55,B098NS6PVG,2023-01-15,63,Placeholder
56,B098NS6PVG,2023-01-22,64,Placeholder
57,B098NS6PVG,2023-01-29,160,Placeholder
58,B098NS6PVG,2023-02-05,75,Placeholder
59,B098NS6PVG,2023-02-12,167,Placeholder
60,B098NS6PVG,2023-02-19,94,Placeholder
61,B098NS6PVG,2023-02-26,124,Placeholder
62,B098NS6PVG,2023-03-05,80,Placeholder
63,B098NS6PVG,2023-03-12,172,Placeholder
64,B098NS6PVG,2023-03-19,134,Placeholder
65,B098NS6PVG,2023-03-26,149,Placeholder
66,B098NS6PVG,2023-04-02,155,Placeholder
67,B098NS6PVG,2023-04-09,121,Placeholder
68,B098NS6PVG,2023-04-16,161,Placeholder
69,B098NS6PVG,2023-04-23,171,Placeholder
70,B098NS6PVG,2023-04-30,138,Placeholder
71,B098NS6PVG,2023-05-07,100,Placeholder
72,B098NS6PVG,2023-05-14,179,Placeholder
73,B098NS6PVG,2023-05-21,63,Placeholder
74,B098NS6PVG,2023-05-28,155,Placeholder
75,B098NS6PVG,2023-06-04,77,Placeholder
76,B098NS6PVG,2023-06-11,126,Placeholder
77,B098NS6PVG,2023-06-18,148,Placeholder
78,B098NS6PVG,2023-06-25,126,Placeholder
79,B098NS6PVG,2023-07-02,101,Placeholder
80,B098NS6PVG,2023-07-09,175,Placeholder
81,B098NS6PVG,2023-07-16,164,Placeholder
82,B098NS6PVG,2023-07-23,188,Placeholder
83,B098NS6PVG,2023-07-30,190,Placeholder
84,B098NS6PVG,2023-08-06,63,Placeholder
85,B098NS6PVG,2023-08-13,154,Placeholder
86,B098NS6PVG,2023-08-20,76,Placeholder
87,B098NS6PVG,2023-08-27,121,Placeholder
88,B098NS6PVG,2023-09-03,81,Placeholder
89,B098NS6PVG,2023-09-10,52,Placeholder
90,B098NS6PVG,2023-09-17,173,Placeholder
91,B098NS6PVG,2023-09-24,157,Placeholder
92,B098NS6PVG,2023-10-01,66,Placeholder
93,B098NS6PVG,2023-10-08,52,Placeholder
94,B098NS6PVG,2023-10-15,110,Placeholder
95,B098NS6PVG,2023-10-22,172,Placeholder
96,B098NS6PVG,2023-10-29,113,Placeholder
97,B098NS6PVG,2023-11-05,113,Placeholder
98,B098NS6PVG,2023-11-12,194,Placeholder
99,B098NS6PVG,2023-11-19,160,Placeholder
100,B098NS6PVG,2023-11-26,192,Placeholder
101,B098NS6PVG,2023-12-03,191,Placeholder
102,B098NS6PVG,2023-12-10,52,Placeholder
103,B098NS6PVG,2023-12-17,155,Placeholder
104,B098NS6PVG,2023-12-24,176,Placeholder
105,B096MSW6CT,2023-01-01,100,Placeholder
106,B096MSW6CT,2023-01-08,117,Placeholder
107,B096MSW6CT,2023-01-15,97,Placeholder
108,B096MSW6CT,2023-01-22,154,Placeholder
109,B096MSW6CT,2023-01-29,116,Placeholder
110,B096MSW6CT,2023-02-05,78,Placeholder
111,B096MSW6CT,2023-02-12,111,Placeholder
112,B096MSW6CT,2023-02-19,66,Placeholder
113,B096MSW6CT,2023-02-26,140,Placeholder
114,B096MSW6CT,2023-03-05,75,Placeholder
115,B096MSW6CT,2023-03-12,138,Placeholder
116,B096MSW6CT,2023-03-19,199,Placeholder
117,B096MSW6CT,2023-03-26,76,Placeholder
118,B096MSW6CT,2023-04-02,63,Placeholder
119,B096MSW6CT,2023-04-09,178,Placeholder
120,B096MSW6CT,2023-04-16,173,Placeholder
121,B096MSW6CT,2023-04-23,112,Placeholder
122,B096MSW6CT,2023-04-30,169,Placeholder
123,B096MSW6CT,2023-05-07,152,Placeholder
124,B096MSW6CT,2023-05-14,84,Placeholder
125,B096MSW6CT,2023-05-21,97,Placeholder
126,B096MSW6CT,2023-05-28,54,Placeholder
127,B096MSW6CT,2023-06-04,154,Placeholder
128,B096MSW6CT,2023-06-11,174,Placeholder
129,B096MSW6CT,2023-06-18,160,Placeholder
130,B096MSW6CT,2023-06-25,87,Placeholder
131,B096MSW6CT,2023-07-02,91,Placeholder
132,B096MSW6CT,2023-07-09,105,Placeholder
133,B096MSW6CT,2023-07-16,182,Placeholder
134,B096MSW6CT,2023-07-23,70,Placeholder
135,B096MSW6CT,2023-07-30,145,Placeholder
136,B096MSW6CT,2023-08-06,178,Placeholder
137,B096MSW6CT,2023-08-13,105,Placeholder
138,B096MSW6CT,2023-08-20,84,Placeholder
139,B096MSW6CT,2023-08-27,181,Placeholder
140,B096MSW6CT,2023-09-03,120,Placeholder
141,B096MSW6CT,2023-09-10,108,Placeholder
142,B096MSW6CT,2023-09-17,191,Placeholder
143,B096MSW6CT,2023-09-24,124,Placeholder
144,B096MSW6CT,2023-10-01,115,Placeholder
145,B096MSW6CT,2023-10-08,87,Placeholder
146,B096MSW6CT,2023-10-15,169,Placeholder
147,B096MSW6CT,2023-10-22,124,Placeholder
148,B096MSW6CT,2023-10-29,139,Placeholder
149,B096MSW6CT,2023-11-05,154,Placeholder
150,B096MSW6CT,2023-11-12,167,Placeholder
151,B096MSW6CT,2023-11-19,148,Placeholder
152,B096MSW6CT,2023-11-26,123,Placeholder
153,B096MSW6CT,2023-12-03,159,Placeholder
154,B096MSW6CT,2023-12-10,171,Placeholder
155,B096MSW6CT,2023-12-17,180,Placeholder
156,B096MSW6CT,2023-12-24,80,Placeholder
157,B08HDJ86NZ,2023-01-01,142,Placeholder
158,B08HDJ86NZ,2023-01-08,146,Placeholder
159,B08HDJ86NZ,2023-01-15,104,Placeholder
160,B08HDJ86NZ,2023-01-22,126,Placeholder
161,B08HDJ86NZ,2023-01-29,75,Placeholder
162,B08HDJ86NZ,2023-02-05,116,Placeholder
163,B08HDJ86NZ,2023-02-12,84,Placeholder
164,B08HDJ86NZ,2023-02-19,88,Placeholder
165,B08HDJ86NZ,2023-02-26,68,Placeholder
166,B08HDJ86NZ,2023-03-05,117,Placeholder
167,B08HDJ86NZ,2023-03-12,137,Placeholder
168,B08HDJ86NZ,2023-03-19,56,Placeholder
169,B08HDJ86NZ,2023-03-26,196,Placeholder
170,B08HDJ86NZ,2023-04-02,114,Placeholder
171,B08HDJ86NZ,2023-04-09,146,Placeholder
172,B08HDJ86NZ,2023-04-16,188,Placeholder
173,B08HDJ86NZ,2023-04-23,121,Placeholder
174,B08HDJ86NZ,2023-04-30,91,Placeholder
175,B08HDJ86NZ,2023-05-07,183,Placeholder
176,B08HDJ86NZ,2023-05-14,159,Placeholder
177,B08HDJ86NZ,2023-05-21,143,Placeholder
178,B08HDJ86NZ,2023-05-28,144,Placeholder
179,B08HDJ86NZ,2023-06-04,165,Placeholder
180,B08HDJ86NZ,2023-06-11,137,Placeholder
181,B08HDJ86NZ,2023-06-18,113,Placeholder
182,B08HDJ86NZ,2023-06-25,156,Placeholder
183,B08HDJ86NZ,2023-07-02,131,Placeholder
184,B08HDJ86NZ,2023-07-09,118,Placeholder
185,B08HDJ86NZ,2023-07-16,147,Placeholder
186,B08HDJ86NZ,2023-07-23,160,Placeholder
187,B08HDJ86NZ,2023-07-30,171,Placeholder
188,B08HDJ86NZ,2023-08-06,89,Placeholder
189,B08HDJ86NZ,2023-08-13,160,Placeholder
190,B08HDJ86NZ,2023-08-20,100,Placeholder
191,B08HDJ86NZ,2023-08-27,54,Placeholder
