sales_id,product_id,sales_volume,sales_date,sales_season,price_at_sale
1,B07JW9H4J1,2,2022-01-10,Regular Season,403.97
2,B07JW9H4J1,2,2022-01-19,Regular Season,380.68
3,B07JW9H4J1,2,2022-01-24,Regular Season,392.54
4,B07JW9H4J1,2,2022-02-05,Regular Season,385.74
5,B07JW9H4J1,2,2022-02-06,Regular Season,406.4
6,B07JW9H4J1,3,2022-02-22,Regular Season,398.39
7,B07JW9H4J1,1,2022-03-01,Regular Season,401.52
8,B07JW9H4J1,2,2022-03-03,Regular Season,383.87
9,B07JW9H4J1,2,2022-03-07,Regular Season,391.68
10,B07JW9H4J1,1,2022-04-15,Regular Season,379.39
11,B07JW9H4J1,2,2022-04-28,Regular Season,402.65
12,B07JW9H4J1,1,2022-05-04,Regular Season,402.21
13,B07JW9H4J1,1,2022-05-15,Regular Season,381.93
14,B07JW9H4J1,2,2022-05-20,Regular Season,390.5
15,B07JW9H4J1,3,2022-06-15,Regular Season,389.36
16,B07JW9H4J1,1,2022-06-21,Regular Season,395.08
17,B07JW9H4J1,1,2022-07-11,Regular Season,382.53
18,B07JW9H4J1,4,2022-07-20,Regular Season,390.27
19,B07JW9H4J1,1,2022-07-26,Regular Season,401.36
20,B07JW9H4J1,2,2022-08-03,Regular Season,415.97
21,B07JW9H4J1,3,2022-08-07,Regular Season,379.23
22,B07JW9H4J1,4,2022-08-17,Regular Season,381.4
23,B07JW9H4J1,1,2022-08-19,Regular Season,383.27
24,B07JW9H4J1,1,2022-08-23,Regular Season,400.48
25,B07JW9H4J1,1,2022-09-04,Regular Season,386.59
26,B07JW9H4J1,2,2022-09-05,Regular Season,399.65
27,B07JW9H4J1,2,2022-09-18,Regular Season,412.46
28,B07JW9H4J1,3,2022-09-29,Regular Season,381.31
29,B07JW9H4J1,2,2022-10-02,Regular Season,414.77
30,B07JW9H4J1,3,2022-10-03,Regular Season,415.08
31,B07JW9H4J1,3,2022-11-07,Holiday Season,418.59
32,B07JW9H4J1,3,2022-11-14,Holiday Season,382.68
33,B07JW9H4J1,3,2022-11-17,Holiday Season,387.55
34,B07JW9H4J1,2,2022-11-26,Holiday Season,417.3
35,B07JW9H4J1,1,2022-12-12,Holiday Season,393.24
36,B07JW9H4J1,2,2022-12-17,Holiday Season,384.97
37,B07JW9H4J1,3,2022-12-25,Holiday Season,389.12
38,B07JW9H4J1,2,2022-12-31,Holiday Season,418.83
39,B098NS6PVG,3,2022-01-04,Regular Season,207.92
40,B098NS6PVG,1,2022-01-05,Regular Season,191.13
41,B098NS6PVG,4,2022-01-15,Regular Season,200.75
42,B098NS6PVG,2,2022-01-29,Regular Season,191.79
43,B098NS6PVG,1,2022-02-23,Regular Season,206.52
44,B098NS6PVG,1,2022-02-27,Regular Season,204.5
45,B098NS6PVG,3,2022-03-06,Regular Season,197.42
46,B098NS6PVG,3,2022-04-08,Regular Season,202.09
47,B098NS6PVG,4,2022-04-24,Regular Season,197.61
48,B098NS6PVG,4,2022-04-30,Regular Season,206.9
49,B098NS6PVG,1,2022-05-25,Regular Season,195.97
50,B098NS6PVG,1,2022-05-26,Regular Season,189.1
51,B098NS6PVG,1,2022-06-22,Regular Season,205.89
52,B098NS6PVG,4,2022-06-29,Regular Season,201.99
53,B098NS6PVG,2,2022-07-13,Regular Season,208.89
54,B098NS6PVG,1,2022-07-14,Regular Season,201.84
55,B098NS6PVG,4,2022-07-26,Regular Season,205.69
56,B098NS6PVG,3,2022-08-21,Regular Season,198.6
57,B098NS6PVG,4,2022-08-26,Regular Season,194.27
58,B098NS6PVG,2,2022-08-27,Regular Season,191.86
59,B098NS6PVG,1,2022-09-08,Regular Season,198.82
60,B098NS6PVG,1,2022-09-17,Regular Season,207.86
61,B098NS6PVG,4,2022-10-05,Regular Season,192.78
62,B098NS6PVG,2,2022-10-06,Regular Season,203.3
63,B098NS6PVG,1,2022-10-21,Regular Season,206.87
64,B098NS6PVG,4,2022-10-30,Regular Season,205.04
65,B098NS6PVG,3,2022-11-04,Holiday Season,202.42
66,B098NS6PVG,1,2022-11-15,Holiday Season,201.02
67,B096MSW6CT,4,2022-01-14,Regular Season,199.78
68,B096MSW6CT,1,2022-01-21,Regular Season,199.61
69,B096MSW6CT,3,2022-01-24,Regular Season,201.68
70,B096MSW6CT,4,2022-01-28,Regular Season,203.34
71,B096MSW6CT,2,2022-02-14,Regular Season,192.41
72,B096MSW6CT,3,2022-03-01,Regular Season,201.73
73,B096MSW6CT,1,2022-03-11,Regular Season,197.86
74,B096MSW6CT,1,2022-03-18,Regular Season,205.94
75,B096MSW6CT,3,2022-04-06,Regular Season,196.37
76,B096MSW6CT,2,2022-04-12,Regular Season,204.29
77,B096MSW6CT,4,2022-04-19,Regular Season,195.48
78,B096MSW6CT,4,2022-04-26,Regular Season,190.89
79,B096MSW6CT,1,2022-05-04,Regular Season,205.65
80,B096MSW6CT,3,2022-06-04,Regular Season,206.73
81,B096MSW6CT,4,2022-06-20,Regular Season,198.95
82,B096MSW6CT,1,2022-06-24,Regular Season,208.32
83,B096MSW6CT,1,2022-06-28,Regular Season,204.14
84,B096MSW6CT,2,2022-07-10,Regular Season,208.85
85,B096MSW6CT,1,2022-07-28,Regular Season,197.3
86,B096MSW6CT,4,2022-07-30,Regular Season,207.38
87,B096MSW6CT,3,2022-08-02,Regular Season,190.49
88,B096MSW6CT,2,2022-08-08,Regular Season,205.11
89,B096MSW6CT,4,2022-09-02,Regular Season,197.96
90,B096MSW6CT,1,2022-09-18,Regular Season,204.33
91,B096MSW6CT,4,2022-10-06,Regular Season,198.89
92,B096MSW6CT,4,2022-10-19,Regular Season,198.28
93,B096MSW6CT,4,2022-11-04,Holiday Season,199.07
94,B096MSW6CT,1,2022-11-17,Holiday Season,203.06
95,B096MSW6CT,3,2022-12-02,Holiday Season,195.87
96,B08HDJ86NZ,3,2022-01-01,Regular Season,340.2
97,B08HDJ86NZ,1,2022-01-08,Regular Season,334.17
98,B08HDJ86NZ,3,2022-01-25,Regular Season,329.38
99,B08HDJ86NZ,3,2022-01-30,Regular Season,319.17
100,B08HDJ86NZ,3,2022-02-11,Regular Season,337.79
101,B08HDJ86NZ,1,2022-02-14,Regular Season,334.39
102,B08HDJ86NZ,4,2022-02-28,Regular Season,334.26
103,B08HDJ86NZ,1,2022-03-01,Regular Season,342.96
104,B08HDJ86NZ,4,2022-04-07,Regular Season,340.3
105,B08HDJ86NZ,4,2022-04-12,Regular Season,336.28
106,B08HDJ86NZ,4,2022-04-15,Regular Season,322.27
107,B08HDJ86NZ,1,2022-04-23,Regular Season,333.67
108,B08HDJ86NZ,2,2022-04-30,Regular Season,331.3
109,B08HDJ86NZ,2,2022-05-06,Regular Season,315.84
110,B08HDJ86NZ,2,2022-05-19,Regular Season,329.93
111,B08HDJ86NZ,1,2022-05-27,Regular Season,332.68
112,B08HDJ86NZ,3,2022-06-29,Regular Season,313.67
113,B08HDJ86NZ,2,2022-07-24,Regular Season,323.76
114,B08HDJ86NZ,1,2022-08-08,Regular Season,312.74
115,B08HDJ86NZ,1,2022-08-15,Regular Season,337.03
116,B08HDJ86NZ,1,2022-09-11,Regular Season,320.69
117,B08HDJ86NZ,2,2022-09-13,Regular Season,320.1
118,B08HDJ86NZ,4,2022-09-15,Regular Season,316.35
119,B08HDJ86NZ,3,2022-09-18,Regular Season,328.33
120,B08HDJ86NZ,1,2022-09-21,Regular Season,312.71
121,B08HDJ86NZ,3,2022-09-27,Regular Season,334.59
122,B08HDJ86NZ,2,2022-09-30,Regular Season,328.57
123,B08HDJ86NZ,4,2022-10-02,Regular Season,317.64
124,B08HDJ86NZ,2,2022-10-15,Regular Season,324.61
125,B08HDJ86NZ,3,2022-10-22,Regular Season,320.16
126,B08HDJ86NZ,2,2022-11-01,Holiday Season,339.72
127,B08HDJ86NZ,4,2022-11-11,Holiday Season,315.97
128,B08HDJ86NZ,3,2022-11-15,Holiday Season,315.13
129,B08HDJ86NZ,1,2022-12-10,Holiday Season,315.39
130,B08HDJ86NZ,2,2022-12-12,Holiday Season,337.56
131,B08HDJ86NZ,4,2022-12-14,Holiday Season,342.97
132,B08HDJ86NZ,2,2022-12-15,Holiday Season,336.09
133,B08CF3B7N1,3,2022-01-07,Regular Season,147.26
134,B08CF3B7N1,1,2022-01-14,Regular Season,155.27
135,B08CF3B7N1,4,2022-01-28,Regular Season,159.01
136,B08CF3B7N1,4,2022-02-03,Regular Season,150.3
137,B08CF3B7N1,4,2022-02-17,Regular Season,146.74
138,B08CF3B7N1,2,2022-02-25,Regular Season,148.47
139,B08CF3B7N1,1,2022-03-09,Regular Season,155.34
140,B08CF3B7N1,4,2022-03-10,Regular Season,160.02
141,B08CF3B7N1,4,2022-04-10,Regular Season,149.7
142,B08CF3B7N1,4,2022-04-29,Regular Season,159.0
143,B08CF3B7N1,3,2022-05-10,Regular Season,146.38
144,B08CF3B7N1,2,2022-05-12,Regular Season,147.45
145,B08CF3B7N1,4,2022-06-07,Regular Season,147.37
146,B08CF3B7N1,3,2022-06-12,Regular Season,150.08
147,B08CF3B7N1,2,2022-06-18,Regular Season,149.57
148,B08CF3B7N1,2,2022-06-29,Regular Season,160.38
149,B08CF3B7N1,2,2022-07-01,Regular Season,149.39
150,B08CF3B7N1,2,2022-07-02,Regular Season,159.12
151,B08CF3B7N1,3,2022-07-21,Regular Season,152.3
152,B08CF3B7N1,1,2022-07-29,Regular Season,159.68
153,B08CF3B7N1,4,2022-08-05,Regular Season,156.4
154,B08CF3B7N1,1,2022-08-07,Regular Season,159.83
155,B08CF3B7N1,2,2022-08-24,Regular Season,155.53
156,B08CF3B7N1,3,2022-09-08,Regular Season,153.57
157,B08CF3B7N1,2,2022-09-12,Regular Season,159.8
158,B08CF3B7N1,2,2022-09-16,Regular Season,152.96
159,B08CF3B7N1,2,2022-09-22,Regular Season,155.77
160,B08CF3B7N1,3,2022-09-24,Regular Season,151.59
161,B08CF3B7N1,4,2022-09-29,Regular Season,147.04
162,B08CF3B7N1,1,2022-10-02,Regular Season,159.01
163,B08CF3B7N1,4,2022-10-24,Regular Season,151.5
164,B08CF3B7N1,3,2022-11-16,Holiday Season,152.44
165,B08CF3B7N1,2,2022-11-22,Holiday Season,160.81
166,B08CF3B7N1,1,2022-12-02,Holiday Season,153.35
167,B08CF3B7N1,1,2022-12-08,Holiday Season,156.3
168,B08CF3B7N1,4,2022-12-22,Holiday Season,154.24
169,B08Y1TFSP6,1,2022-01-08,Regular Season,156.09
170,B08Y1TFSP6,1,2022-01-09,Regular Season,152.56
171,B08Y1TFSP6,1,2022-01-14,Regular Season,148.87
172,B08Y1TFSP6,3,2022-01-21,Regular Season,145.72
173,B08Y1TFSP6,2,2022-01-22,Regular Season,151.38
174,B08Y1TFSP6,3,2022-02-04,Regular Season,146.19
175,B08Y1TFSP6,4,2022-02-08,Regular Season,154.65
176,B08Y1TFSP6,3,2022-02-20,Regular Season,141.94
177,B08Y1TFSP6,1,2022-02-24,Regular Season,147.99
178,B08Y1TFSP6,2,2022-03-26,Regular Season,146.95
179,B08Y1TFSP6,3,2022-03-28,Regular Season,142.8
180,B08Y1TFSP6,1,2022-03-31,Regular Season,152.21
181,B08Y1TFSP6,3,2022-04-05,Regular Season,149.16
182,B08Y1TFSP6,2,2022-04-08,Regular Season,153.43
183,B08Y1TFSP6,3,2022-05-20,Regular Season,155.82
184,B08Y1TFSP6,1,2022-05-25,Regular Season,149.95
185,B08Y1TFSP6,2,2022-06-11,Regular Season,142.8
